Nome;E-mail;CPF;Endereço;CEP;Estado;Data Nascimento
Augusto Vieira;cardosodavi-lucca@gmail.com;394.160.258-60;Alameda de Moreira, 370;59103-712;RS;21/06/1993
Erick Duarte;calebecastro@gmail.com;907.862.541-49;Fazenda de da Paz, 519;91372-831;MG;26/12/2012
Murilo Fogaça;acosta@bol.com.br;650.127.983-68;Viela Mariane Costela, 230;57328-451;AM;21/04/1972
Maria Alice Rezende;efarias@yahoo.com.br;274.653.801-62;Pátio Martins, 19;79394-246;PE;18/06/2006
Vitória Costa;santosesther@hotmail.com;748.592.016-20;Rodovia Jesus, 11;49595-407;ES;25/08/1989
Dr. Gustavo da Luz;martinsbreno@yahoo.com.br;462.581.037-07;Rua Isabella da Costa, 30;48527-037;MA;19/02/1993
Davi Lucas Cavalcanti;fda-cruz@bol.com.br;941.560.237-61;Praia de Araújo, 296;76760-918;PR;09/12/1978
Larissa Pereira;mcastro@gmail.com;792.860.314-40;Alameda Lucas Gabriel Aragão, 86;69131-368;ES;24/03/1991
Luiz Otávio Cardoso;oliveiradavi-lucca@hotmail.com;572.648.019-85;Lagoa Almeida, 32;69642-044;MG;15/06/1978
Sr. Diego Araújo;guilhermeteixeira@uol.com.br;017.953.462-99;Passarela de Fogaça, 22;93285-637;AP;08/12/2000
Luigi Pires;ada-conceicao@ig.com.br;815.093.274-79;Lagoa de Cardoso, 54;16071-667;RR;31/05/1991
Otávio Lima;barrosalice@bol.com.br;827.159.304-88;Campo Oliveira, 78;81513-276;AL;22/08/1995
Sra. Ana Clara Teixeira;fogacamaria-julia@bol.com.br;526.147.380-26;Recanto Melissa Cardoso, 43;65664-599;BA;23/03/2019
Rafaela Nogueira;danilo51@hotmail.com;469.035.781-10;Ladeira da Mata, 26;25971-455;PA;16/04/2011
Sra. Marcela Cardoso;danilo99@hotmail.com;685.930.127-95;Setor da Costa;60969-442;PB;14/08/2017
Giovanna Vieira;novaesisabel@uol.com.br;704.852.613-08;Viaduto Benício Duarte, 3;64325-871;PI;05/12/1997
Theo Nunes;laramendes@uol.com.br;629.758.034-00;Trecho de Duarte, 67;82812-453;SE;19/02/1981
Isadora Cardoso;ana-julia00@uol.com.br;641.032.879-69;Esplanada Cardoso, 4;37698-178;BA;30/09/2018
Pietro Aragão;enrico51@hotmail.com;950.487.612-94;Vereda de da Costa, 24;48319-869;AC;17/08/2011
Gustavo Pires;uviana@gmail.com;918.374.026-04;Alameda Farias, 9;28436-921;PI;24/01/2007
